"georeg_agg","doymin","mean_pai","median_pai","sd_pai","se_pai","mean_tocpai","median_tocpai","sd_tocpai","se_tocpai","mean_uspai","median_uspai","sd_uspai","se_uspai","n_used"
"NOA","17",3.82856621205246,4.11483955383301,1.46352764412656,0.00283416578009062,1.31602405079117,1.23929512500763,0.949629400736007,0.00183898620715169,2.51157886396476,2.55128824710846,1.04564300935336,0.00202491947944647,266656
"NOA","33",4.01797347374651,4.29752159118652,1.45110642669444,0.00264842337061552,1.49318777923807,1.45482432842255,0.993017563335059,0.00181236253508926,2.52426682994094,2.54415380954742,1.03248937995316,0.00188440279325981,300209
"NOA","49",3.8482805394924,4.13381433486938,1.50640627996967,0.00312379178221124,1.39539869940232,1.3192664384842,1.01048268450798,0.00209540915216865,2.45165453232863,2.48691010475159,1.0580255971798,0.00219399753558246,232552
"NOA","65",3.93812596603965,4.2072982788086,1.46952357338234,0.00238826032520518,1.46529306750856,1.41397547721863,1.01779537930181,0.00165411454949913,2.47211579613365,2.48812508583069,1.02929017295521,0.00167279581472419,378608
"NOA","81",3.757799984486,4.01857566833496,1.4135201927164,0.00334890639808437,1.20708054900004,1.0955685377121,0.931771213248037,0.00220754863897672,2.54950199599187,2.59254729747772,1.03766960144947,0.00245844267757767,178155
"NOA","97",3.71766248806348,4.01644039154053,1.49658279482343,0.00333327054364728,1.23622093784672,1.12599849700928,0.953832472286501,0.00212442752545606,2.48059417597254,2.53444349765777,1.0743905865901,0.00239294111026794,201586
"NOA","113",3.91560769986855,4.15802145004272,1.42383859713835,0.00302254867437121,1.42079133287468,1.35080504417419,1.00516054743662,0.00213377182378039,2.49435434956261,2.51624439656734,1.00617129828105,0.00213591746278126,221909
"NOA","129",3.85698642235055,4.11484336853028,1.43394410534145,0.0024854069270153,1.37264974243604,1.29991179704666,0.988927963425458,0.00171407546602488,2.48212224991204,2.50745739042759,1.0225219284747,0.00177230275196181,332866
"NOA","145",3.90343503776503,4.13979768753051,1.38791062495955,0.00254599506140331,1.34376209633368,1.27013021707535,0.971237872935818,0.00178164701924846,2.55803900254354,2.58175581693649,0.998498775330976,0.00183165465058963,297172
"NOA","161",3.93060090837111,4.16688394546509,1.38863729614017,0.00225623542349761,1.4177684683078,1.35827195644379,0.989949409104298,0.00160845379171365,2.51047498014271,2.51432001590729,1.01549201092921,0.00164995499811639,378799
"NOA","177",3.9883329041649,4.24341917037964,1.43610804224352,0.00200032703274274,1.53409352404642,1.50610363483429,1.02081762942045,0.00142187707300912,2.45203246433674,2.45772862434387,1.00019442396353,0.00139315141020116,515433
"NOA","193",4.07055418504628,4.33417701721191,1.44861297478261,0.00218524485807308,1.63787895930132,1.63419139385223,1.04452298882205,0.00157567171507977,2.42866609350189,2.42058897018433,1.00434549168308,0.00151506362267582,439445
"NOA","209",3.90878389235289,4.18699431419373,1.47873004696034,0.00231539356416982,1.4347812569917,1.37067320942879,1.02405378852348,0.00160346207624911,2.47205281063843,2.48953056335449,1.03725134951554,0.00162412679990614,407876
"NOA","225",4.01929661868659,4.27914571762085,1.41596409214875,0.00207603523878957,1.56170052296757,1.54112768173218,1.01838949699758,0.0014931257750836,2.45537097793326,2.45500946044922,0.995663193743434,0.00145980529283082,465195
"NOA","241",4.09484403827166,4.33681654930115,1.40789959356716,0.00167080117162623,1.66439898403617,1.66086786985397,1.03750697536613,0.00123124395939349,2.43023935590124,2.42297583818436,0.97265385608499,0.00115428061046318,710058
"NOA","257",3.93528824136137,4.21618032455444,1.46292348340752,0.00192538772935002,1.53313376655069,1.49962449073792,1.03842786460388,0.00136669914113786,2.40070631213858,2.41058611869812,1.00188404304,0.00131860296493952,577307
"NOA","273",3.94853296492101,4.22457551956177,1.46845100816921,0.00169118368817361,1.50304619573279,1.4603568315506,1.02792609851529,0.00118384055088386,2.44262519805659,2.45164954662323,1.02411329341312,0.00117944942461604,753941
"NOA","289",3.92390390746641,4.18469953536987,1.43958394060404,0.00209912335725251,1.45317057583174,1.38027799129486,1.03540466502447,0.00150977102151412,2.46810044030971,2.4819610118866,1.01289549110731,0.00147694936284644,470325
"NOA","305",3.94561898449905,4.2251033782959,1.45083251810866,0.00201534064459165,1.50072161757792,1.44510495662689,1.05090300835185,0.00145980154140473,2.44324953285197,2.44800966978073,1.02455317971326,0.00142319919070569,518248
"NOA","321",3.89119250859354,4.13688540458679,1.36890446253631,0.00260714858666238,1.38888250519961,1.31409811973572,0.993923589008301,0.00189297832774408,2.49943731790114,2.50961424410343,0.987967695311526,0.001881635023475,275686
"NOA","337",3.87178592494271,4.13902878761292,1.42313019827926,0.0027198227503605,1.35697640863017,1.25405806303025,1.01409060069769,0.00193808457584504,2.5131766026667,2.52987480163574,1.03181526148731,0.00197195915437363,273784
"NOA","353",3.73703366152827,4.01820778846741,1.44144885177376,0.00422050395141323,1.19764130093199,1.06842696666717,0.95082395822673,0.00278397410206833,2.53702037165161,2.5783548951149,1.06576457012268,0.00312051556594876,116646
"NWA","1",4.08378035422593,4.31960773468018,1.47729285910941,0.00357790336386142,1.71357439782032,1.73828756809235,0.937264569986462,0.00226999138126499,2.36976321294225,2.40050935745239,0.956629440091817,0.00231689178659996,170481
