"region","truedate","mean_ndvi","se_ndvi","mean_cci","se_cci","mean_pri","se_pri","mean_cire","se_cire","mean_car","se_car","mean_chlcar","se_chlcar","doy","n_per_date"
"all","20240524",0.752650888101641,0.000242045038628598,0.111907066820036,0.000188179540490618,-0.0423643615916796,7.50524721526299e-05,2.31559629335411,0.00177343710593115,5.19880942016467,0.00875427225765186,0.549060241968344,0.00122409710716683,145,72554
"all","20240601",0.749408251377714,0.000129908141489544,0.120579446621285,0.000110281185334469,-0.0371269963539386,4.30130580635297e-05,2.27203689231339,0.000910720329746115,4.74233769390713,0.00478524505655425,0.576457837904543,0.000690061177255064,153,198378
"all","20240609",0.745799083285226,0.000131170017012554,0.120704916929911,0.0001137882811602,-0.036190885227321,4.19391777009819e-05,2.21870172924358,0.000875133810880775,4.50238638662728,0.00433309559906837,0.586011611046208,0.000688649708078839,161,201545
"all","20240617",0.738761144525595,0.000131111437003889,0.117638638724995,0.000111189731976187,-0.034356120544719,3.74543098731074e-05,2.1865287196926,0.000875030030577335,4.18962241643351,0.00361190806437181,0.604086800124712,0.000627686938253171,169,209059
"all","20240625",0.735194701137128,0.000125344398881546,0.115823470271466,0.000100680076868453,-0.0339017879852738,3.24779716988772e-05,2.15728880919201,0.000812149073908477,4.03406636859485,0.00318625859528542,0.608941007191926,0.000575483426321578,177,233288
"all","20240703",0.731615812181275,0.000131651684604798,0.108184719417969,0.000104577887419483,-0.0374311581766145,3.72042075982634e-05,2.12913505276931,0.000824515115617967,4.28560995215418,0.0039159495875593,0.583311720913068,0.000564103466157469,185,227742
"all","20240711",0.751612049544668,0.000140410776295317,0.109499714315824,0.000120607821603275,-0.0448686478322488,4.31033776559643e-05,2.23539431427106,0.000930511217536355,5.30134914219593,0.00469059954828076,0.49668902079089,0.000576923189791807,193,207599
"all","20240719",0.727754674791308,0.00014185113374412,0.102128256737257,0.000115680584258867,-0.039158459038981,5.00149438828572e-05,2.09751304762977,0.000863410823938578,4.35487938019982,0.00468688695719301,0.612599439223034,0.000848269201843816,201,203755
"all","20240727",0.706457218908447,0.000138566045271951,0.105931283301225,9.23330937793605e-05,-0.0290222483535802,4.50172192649609e-05,2.00875326769254,0.000780269409461547,3.51616789801721,0.00404833149702347,0.795971828914265,0.00126126122652011,209,234992
"all","20240804",0.701034848250242,0.000148569504182663,0.109616027837256,9.39030924246883e-05,-0.0250805272746878,4.48699850121345e-05,1.99882074626948,0.000824089407489359,3.21606996080017,0.00381989395432354,0.897291820082369,0.0016209849406994,217,220941
"all","20240812",0.666636964547196,0.00014217008548934,0.102709862525154,7.53349283055321e-05,-0.0169238344331819,4.04829827733682e-05,1.85005294694701,0.000735071801267994,2.35997443420516,0.00291893321718937,1.17770270399344,0.00201239275233836,225,233685
"all","20240820",0.657329516398714,0.000157029099301459,0.103841496513872,6.90656324422379e-05,-0.013218986540627,3.99696283183483e-05,1.8407829327324,0.000828194790236032,2.17023540013802,0.00317894713251964,1.39265719225258,0.00255905803532019,233,217044
