"region","doy","mean_ndvi","se_ndvi","mean_cci","se_cci","mean_pri","se_pri","mean_cire","se_cire","mean_car","se_car","mean_chlcar","se_chlcar","n_per_date"
"all",257,0.667709437090812,0.000204862501846734,0.115343490720556,8.93534459439893e-05,-0.0111784401259799,4.87587384960682e-05,1.89978938733366,0.00114071086268911,2.16155622725189,0.00425466224855918,1.49388502327188,0.00339006239332151,137123
"all",265,0.675003613237712,0.000194267624800989,0.117840644628628,8.21672375271158e-05,-0.0108372962097936,4.48102678533701e-05,1.91828562387063,0.00106770321169133,2.0924644659466,0.00368346512625936,1.45810177389839,0.00312173868251964,140043
"all",273,0.698619656547691,0.000193424249567296,0.123029830557393,9.97716850478043e-05,-0.0168029845994868,4.2893887016656e-05,2.04614781184215,0.00111981182750227,2.69279969721548,0.00427560183544358,1.08548865865399,0.00215687208627651,146623
"all",281,0.711910079050184,0.000178981085005505,0.123541511288045,0.000103494217205158,-0.0200169380850708,3.93084272219262e-05,2.09827692795103,0.00109621847503026,2.97999749799033,0.00397025290655268,0.895914283305953,0.00155834092246492,140194
"all",289,0.716529548830881,0.000183571808892756,0.129208705835663,0.000115009419713439,-0.0189197459663148,4.95521040739945e-05,2.13575541860402,0.00118013903287894,2.93917258045386,0.00434851801161663,0.991348567711566,0.00214202797067263,126361
"all",297,0.715755148079357,0.000181630092547863,0.133492167651084,0.00010556967333765,-0.0146653553164895,4.58251840789278e-05,2.16226729274877,0.00117763456830989,2.73412011736836,0.00437053530827205,1.06315325257581,0.00213854140749336,121469
"all",305,0.721845960210758,0.000161134076388637,0.13303901263965,9.51289729422234e-05,-0.0166687198648472,4.44623114586129e-05,2.20381909429288,0.00106984773066376,2.89178661521657,0.00397422737703133,1.0180718394757,0.00197392105387997,137165
"all",313,0.729848724268611,0.000170786272979636,0.136108202173754,0.000106931616888234,-0.0196548511976673,4.44538678415419e-05,2.24626996003161,0.00113901512580073,3.27679537245443,0.00428646884657161,0.928818427923713,0.00193616003992224,143498
"all",321,0.730084240159404,0.000167638387948636,0.136475669145437,0.000100192737167926,-0.0199430234822164,4.66248302630851e-05,2.24917442618846,0.00113603426674096,3.33472154790636,0.00461496615772161,0.927781356694937,0.00193123414376211,142582
"all",329,0.732366005355094,0.00015240615145079,0.141693031276634,9.01378658849413e-05,-0.0181760401096035,4.45510929563275e-05,2.2712445476498,0.00102414679712072,3.29202522169748,0.00426809870712974,1.0037241473762,0.00203185167518976,174040
"all",337,0.746149733533617,0.000170837252825757,0.144896664416505,0.000116305095743106,-0.0216447170414213,5.0157335178125e-05,2.36524389099828,0.00127239435968518,3.67974051229747,0.00516180510289225,0.847014059855255,0.0017219475133724,127298
"all",345,0.741929520710085,0.000161142822180538,0.137581010934178,0.000110163605165254,-0.0245304061943695,4.10990352059134e-05,2.29699863917846,0.00118422398981004,3.75354998166824,0.00445013568017965,0.751211141183463,0.00131851873013112,136489
"all",353,0.734995915053118,0.000161693938616295,0.140012593733199,0.000104040922119068,-0.0152401216659358,4.08226114359678e-05,2.38028446932953,0.00129412717757707,3.0788291961186,0.00391897200103057,0.996652278504098,0.00179277505130411,142129
"all",361,0.74269010027408,0.000183454351058139,0.13668499369398,0.000125958557347447,-0.0234247668019157,4.83660105258096e-05,2.37123469055522,0.00139179508716396,3.7618076881212,0.00540830504039569,0.800473028613461,0.00157655173972257,113987
