"georeg_agg","doymin","mean_pai","se_pai","mean_pai_toc","se_pai_toc","mean_pai_us","se_pai_us","mean_modis_lai","se_modis_lai","mean_meanpavd","se_meanpavd","mean_sdvfp","se_sdvfp","mean_nirv","se_nirv","mean_fpar","se_fpar","mean_apar","se_apar","mean_sif743","se_sif743","mean_sif743_cor","se_sif743_cor","mean_sif_par","se_sif_par","mean_sifs_par","se_sifs_par","mean_sif_parm","se_sif_parm","mean_sifs_parm","se_sifs_parm","mean_sif_apar","se_sif_apar","mean_phif","se_phif","mean_phifm","se_phifm","mean_fesc","se_fesc","mean_pri_nar","se_pri_nar","mean_cci","se_cci","mean_sif_rel_tropo","se_sif_rel_tropo","mean_ndvi_tropo","se_ndvi_tropo","mean_nirv_tropo_refl","se_nirv_tropo_refl","mean_nirv_tropo_rad","se_nirv_tropo_rad","mean_phifm_tropo_rad","se_phifm_tropo_rad","mean_phifm_tropo_refl","se_phifm_tropo_refl","mean_phif_tropo_refl","se_phif_tropo_refl","mean_fesc_tropo_rad","se_fesc_tropo_rad","mean_fesc_tropo_refl","se_fesc_tropo_refl","mean_sif_fesc_mod","se_sif_fesc_mod","mean_sif_fesc_tr","se_sif_fesc_tr","mean_iprec","se_iprec","mean_vpd","se_vpd","nsif","npai","nsifparm"
"NOA",193,4.40514662055849,0.0269736456358799,1.8400927627424,0.0306305248702629,2.37467042080261,0.0160048676071125,5.49655030818094,0.00305876028408094,0.0275035722198773,0.00024277857097259,0.053531804297752,0.000483376397506101,0.257309069175515,0.000105940983756221,0.85695721753746,0.000193429510457624,144079.376247879,88.3491044166994,1.44188130124221,0.00143735274188075,0.495845143172241,0.000497917629665511,3.01627267128393e-06,2.99461350089509e-09,8.77111143032385e-06,8.65131448128267e-09,6.38611840419146e-07,6.60500124336365e-10,1.85692673001004e-06,1.90610636387334e-09,3.44367770753211e-06,5.1219287659505e-09,1.16901520239348e-05,1.37615096016896e-08,2.42514891456228e-06,2.87019653156474e-09,0.296536026696402,0.000152220728722364,-0.0868289214610433,4.12222519483522e-05,0.181074619357022,0.000167671111249961,0.00515384130494101,4.86949987290508e-06,0.510553475309118,0.000306516918346699,0.153565347944111,9.52314597958998e-05,48.7905579191423,0.0289469800904203,1.31952551584597e-08,1.29984907121422e-11,4.20755181864851e-06,4.24226294388338e-09,1.98821852951071e-05,1.92847335961613e-08,56.5897091500963,0.0489817727558753,0.178573235770261,0.000160600040423308,1.64084142207019,0.00259376334130133,2.78722129658399,0.00396826463668771,131.554943588365,0.217229845403919,2.55005760342087,0.000502466187545268,109631,318,109631
"NOA",209,4.36678245521727,0.029046964818795,1.68321569122019,0.0380251717164583,2.47290341229666,0.0198957223784251,5.70434779989093,0.00290753426370905,0.029057332412118,0.000302550725378538,0.0569623902085282,0.00064013651879313,0.25991116756654,0.000105069208598465,0.865993437554963,0.000178060565305669,140961.328453995,96.6778469335932,1.44201571690293,0.00154014085287942,0.494212198523463,0.000532708529936992,3.17989150093235e-06,3.56584917467026e-09,9.27549366556641e-06,1.02911212551335e-08,6.36841675456448e-07,6.95288288236826e-10,1.85792517067242e-06,2.00807537227425e-09,3.4925703814909e-06,5.6211634552221e-09,1.19728710710167e-05,1.57225317246507e-08,2.39754280422255e-06,2.98461504040853e-09,0.296099583489618,0.000136268338697617,-0.0867611841060081,4.33253621884719e-05,0.179562298391167,0.000165329078309011,0.00498739237038416,5.02827962082056e-06,0.518715912185411,0.000335432538556181,0.157012493755196,0.000106558700053658,51.0401640272061,0.0329165532273734,1.25856200489206e-08,1.31517423750241e-11,4.10744043726721e-06,4.39848473517609e-09,2.04878616376299e-05,2.22745152547155e-08,58.2787555061234,0.0502557214359333,0.179934022357743,0.000162394482253521,1.61309930349367,0.00252054413793186,2.71475904320453,0.00385173754050997,118.919051820534,0.217503776585054,2.50734877039063,0.000496034304857021,93826,210,93826
"NOA",225,4.37817047062245,0.0218899947640324,1.71201026277479,0.0266673460527159,2.46045834249394,0.0165107844520139,5.84036962398286,0.00223991450879301,0.0286639649632641,0.000249800221840192,0.05573246443369,0.00048405237230263,0.261615127448036,9.71035099496776e-05,0.868773138524567,0.000142830553288478,167587.444790845,83.795124642308,1.48096011395357,0.00130846832469721,0.509228378937215,0.000454940643408289,2.68791680622751e-06,2.57788605819965e-09,7.81670839894238e-06,7.41710701985272e-09,5.98855663734655e-07,5.48692357251387e-10,1.74190325936109e-06,1.58164567938741e-09,3.00677472610848e-06,3.56195089625031e-09,1.00350613962947e-05,1.10036888782626e-08,2.20710708390958e-06,2.22462495054161e-09,0.297309452916752,0.000108898803313101,-0.0852041122106139,3.72993891272592e-05,0.167871429810335,0.000150251816916852,0.00500822996695861,4.07577827026184e-06,0.528639210027504,0.000298398933423194,0.161108362307235,0.000100095035992037,53.3763741157616,0.0317048872764249,1.13022585335403e-08,9.54220256430638e-12,3.75761621972046e-06,3.2485680926004e-09,1.68437860373596e-05,1.48191762351872e-08,60.7590811647561,0.0425774760796653,0.183793463889092,0.000134617730460967,1.63657030252996,0.00186453999859518,2.72340506464531,0.00268482370640689,97.8138183254847,0.207409748239781,2.52451937616316,0.000517506590737896,118843,352,118843
"NOA",241,4.41330484283829,0.0153653765843921,1.77175190196305,0.0223980149356423,2.44498759749066,0.0126731610659185,5.8324969694386,0.00247764038777834,0.0287851759237491,0.000179129744209238,0.0564068458902343,0.000388841593078255,0.266170034040366,9.50331664184039e-05,0.86542802135761,0.000151556129538124,181782.847862926,86.5323292016008,1.51376196242735,0.0013156712104448,0.523282683543108,0.000461188624148093,2.48789418424246e-06,2.16861975669965e-09,7.195831287721e-06,6.17369834245301e-09,5.83249004550569e-07,5.21761231142967e-10,1.68723147915188e-06,1.488139124069e-09,2.82823621258267e-06,3.06298559930598e-09,9.30627641897449e-06,9.02182762673898e-09,2.13702576588928e-06,2.02761416446465e-09,0.303332571829248,0.000115910674051857,-0.0849825979956249,3.66419356312449e-05,0.169512695031907,0.000139189322414578,0.00507350380951125,3.91912221824358e-06,0.528900801428167,0.000264007555206713,0.162259544149025,9.97640103723156e-05,54.2111941159325,0.0314259808659722,1.08178748468077e-08,8.47569899167306e-12,3.62769239570663e-06,2.90263647208866e-09,1.55280152895613e-05,1.26371098340862e-08,61.9771713009931,0.0432729864548086,0.185621245285887,0.000137121310274015,1.65725105186842,0.00182508299006083,2.77552249801422,0.00268488529195808,90.6003925381539,0.168652672594127,2.51708097958566,0.000530491042692246,122883,569,122883
"NOA",257,4.31266604955472,0.0227198332669065,1.69303651615491,0.0290162698295156,2.41173859786748,0.0149344377951242,5.9474754602685,0.00221216844796312,0.0287007273610064,0.00022098772721437,0.0557348065022098,0.000466582569961517,0.269828591462514,9.41131684137607e-05,0.870477663701266,0.000136478768525815,196835.721366779,92.2761280034102,1.51348377172742,0.00127303043257136,0.527383514709008,0.000451872695739651,2.36762214884001e-06,2.057110364573e-09,6.79446565510509e-06,5.78863956086334e-09,5.75008205865298e-07,4.99136544220852e-10,1.65018391635947e-06,1.40620383887825e-09,2.66841248979974e-06,2.88842873727673e-09,8.73920659100318e-06,8.60990145737021e-09,2.09009318441162e-06,1.95811923771447e-09,0.307375472444705,0.000110223699651055,-0.0848086973837107,3.52612218685763e-05,0.174279800512153,0.000140844123853016,0.00509612880322378,3.71571523753515e-06,0.54815009767619,0.000278068079158609,0.169613012422391,0.000113916476076925,56.4901786947481,0.0359336524779905,1.02814295149786e-08,7.87853144310074e-12,3.43741634631125e-06,2.69104652159943e-09,1.41535379823536e-05,1.11288764085334e-08,64.795064967989,0.0493066939005755,0.194581666815607,0.000156402142845755,1.67670239895827,0.00176369289914086,2.70539484834585,0.00241428055632426,80.1777939653047,0.160466336375637,2.52239338303802,0.000532589239554074,122832,398,122832
"NOA",273,4.2856233443828,0.0187226265951297,1.62135459947793,0.0231899054028371,2.43825405571961,0.0130194334426065,5.94304427268565,0.00228168067099363,0.0294623582521615,0.000179259450101556,0.0575167572552873,0.000397507765235064,0.273275621624878,9.94506955018307e-05,0.869500744083648,0.000141222130252863,203747.657131522,77.8486002245622,1.51019096473337,0.00123358623108477,0.529990302918116,0.000441927086702513,2.255409990616e-06,1.8501751620271e-09,6.42541971930478e-06,5.14388660043796e-09,5.90576480821173e-07,4.98521733678183e-10,1.68304283617844e-06,1.39408364234715e-09,2.5760936194536e-06,2.69613632314157e-09,8.2507899818984e-06,7.56998801803148e-09,2.12108175057991e-06,1.96007798016231e-09,0.310923293493441,0.000117103434131355,-0.0876117244117746,3.39461400144749e-05,0.177499563364657,0.000152276953284333,0.00523120861688679,3.79270188490287e-06,0.550438592194164,0.000343888589471732,0.168525420850892,0.000122236420788706,55.4369177341081,0.0380137991233744,1.08636445688689e-08,8.78362222374956e-12,3.59014031076515e-06,2.97426402042393e-09,1.36551751432796e-05,1.03439699404918e-08,64.3680000177705,0.0555722131156228,0.195695787806662,0.000178228185722378,1.67093118572389,0.00180108332751426,2.73161213141619,0.00267710464642156,67.981694162728,0.15106750378492,2.52463655039423,0.000557113885593295,123271,519,123271
"NOA",289,4.30288068945781,0.0234497469497381,1.60566370702242,0.0325953605322236,2.48076550904277,0.0160771015846137,5.99028809821847,0.00249435155381024,0.0298202081822452,0.000277494365273638,0.0582495973415255,0.00060327368782081,0.276585518212874,9.98799022328715e-05,0.872672587287351,0.000153257289044775,192622.837750785,98.0711709528308,1.52551347987497,0.00122994677165379,0.537683390777236,0.000441571218983654,2.45666379589154e-06,1.99681969526062e-09,6.9691721935727e-06,5.53968162193722e-09,6.38764396786982e-07,5.48107718018446e-10,1.8123427679142e-06,1.52873833157304e-09,2.79175780308857e-06,3.09219248597947e-09,8.91483226690978e-06,8.23810503388298e-09,2.27664324806064e-06,2.1543548187961e-09,0.31347213993381,0.000127105359051352,-0.0885417400441332,3.85323774210328e-05,0.183483505180716,0.000158972144896102,0.00550972321719393,4.07262205243029e-06,0.52795577426373,0.000261410815889733,0.159097151333483,9.83623016394141e-05,51.3317571402798,0.0295213287578643,1.25283846168812e-08,9.67120556318707e-12,4.05860953003679e-06,3.19477403423498e-09,1.56102769654414e-05,1.14375925353223e-08,59.1725406364947,0.0445559498683791,0.183341014332767,0.000148789727212335,1.70208645031808,0.00192749399347046,2.94104491887655,0.00285788093683152,68.6994841334543,0.133965975612894,2.52433728692941,0.000564286293946592,124377,339,124377
"NOA",305,4.29227206667154,0.0248999806640066,1.60922158603403,0.0327693356543982,2.452960891976,0.015686348505514,5.82143555233122,0.00327839931285223,0.0285406509040749,0.000240724094429233,0.0559951788421544,0.000519168793365233,0.274699497262148,0.000114640399887708,0.866774750653307,0.000192073007549578,171634.357019889,109.046900315473,1.51560269445357,0.00129820029615092,0.534152584449619,0.000465707096681795,2.70615247870598e-06,2.41919729708284e-09,7.67829128232112e-06,6.74380610742656e-09,6.71564300716604e-07,6.16313611820148e-10,1.90608179926043e-06,1.72714583646055e-09,3.09019365887535e-06,4.5159259582206e-09,9.96469242850174e-06,1.08137399811613e-08,2.40565603807933e-06,2.64243060046048e-09,0.310405489021784,0.000171257827213267,-0.0880502063838264,4.45505342675223e-05,0.19014553212923,0.000187390472684869,0.00567307550394059,4.59283697873565e-06,0.551531623019128,0.000379739050656007,0.16388086998583,0.000124743712094447,51.7214668444368,0.0375316216578784,1.32953460540214e-08,1.20979936683622e-11,4.21349690794082e-06,3.89643152930871e-09,1.69125691347908e-05,1.45024335797636e-08,59.4474475293954,0.0674814269280584,0.188129114392081,0.000223965897179468,1.68199136446505,0.00255839562652457,2.86154602713167,0.00389849188149069,76.0016957164889,0.139821354016146,2.48954577284035,0.000603666900988335,120563,359,120563
