"georeg","doymin","mean_sif743_corj","se_sif743_corj","mean_sif743j","se_sif743j","mean_sifparj","se_sifparj","mean_sifsparj","se_sifsparj","ndsif"
"NOA",1,0.461103657003768,0.000454144820272756,1.36725748806361,0.00132698901622722,5.63381800581999e-07,7.26864886650467e-10,1.6713108044039e-06,2.14147517352355e-09,108019
"NOA",17,0.470251734209068,0.00052073065260854,1.40457449998753,0.00153326553196996,5.77217481485178e-07,8.1970721890789e-10,1.72378687680526e-06,2.42940616638465e-09,86251
"NOA",33,0.46780735035152,0.000494607212145716,1.39934418082136,0.00146178818835887,5.42059579828045e-07,7.82355242227395e-10,1.62187455913783e-06,2.32495434168038e-09,102335
"NOA",49,0.45132520820711,0.000525716801456725,1.34514909155182,0.00154513472483319,4.89082682488162e-07,6.9888728171293e-10,1.45735320426399e-06,2.05756696918399e-09,93271
"NOA",65,0.474217976834004,0.000604018554542586,1.40163505791073,0.00175760758059266,5.33316388289159e-07,8.09847209610338e-10,1.57673766698414e-06,2.36852327166268e-09,96773
"NOA",81,0.484976042268224,0.000633817936366032,1.41508932978458,0.00182132683279677,5.62395893409013e-07,9.57390852486775e-10,1.64146142668989e-06,2.77244144630333e-09,83995
"NOA",97,0.469595555938947,0.000595381489987808,1.3568148685306,0.00169973707262693,5.55320051479574e-07,8.57239164129865e-10,1.60490632866298e-06,2.4609554641432e-09,85831
"NOA",113,0.466520139864337,0.000509716876572146,1.34143759307569,0.00145336420154336,5.75222251320632e-07,9.29335006766427e-10,1.65433912199275e-06,2.66477014306373e-09,98251
"NOA",129,0.479664072356273,0.00053704892247141,1.37051383517285,0.00151934728054774,6.01547764212729e-07,8.47427997723693e-10,1.72046057716375e-06,2.41928014789255e-09,97014
"NOA",145,0.479283751027061,0.000518025081956598,1.37650618745807,0.00147975351088468,5.93276434242784e-07,7.70602165941243e-10,1.70411692007528e-06,2.20585801461036e-09,94530
"NOA",161,0.479961721647825,0.000469442859253269,1.38301066429991,0.00134252949369223,6.0944706217542e-07,8.5177156105023e-10,1.75655225796095e-06,2.4422926815198e-09,108686
"NOA",177,0.481168288588519,0.00048711634551358,1.39333214801493,0.00139882035881284,5.91726130792579e-07,7.88100835134435e-10,1.71475060938406e-06,2.27793960181567e-09,106979
"NOA",193,0.494204271137724,0.000497660033893204,1.43736533463724,0.0014368748918229,5.8728501760587e-07,7.82480591285395e-10,1.70886221197858e-06,2.2660849785385e-09,106362
"NOA",209,0.492327588919668,0.000538284582926328,1.43654831875031,0.00155609985760738,5.90811247885502e-07,9.01941540604162e-10,1.72335003680363e-06,2.60781598894691e-09,90942
"NOA",225,0.509883702978396,0.000457992991361992,1.48251400682382,0.00131633314913245,5.42296328546134e-07,5.97861230975669e-10,1.57707007417492e-06,1.72599147039663e-09,114727
"NOA",241,0.524828412944763,0.000463473546725573,1.51815051809569,0.00132243744049538,5.54913495402024e-07,6.10525492597984e-10,1.60539666766766e-06,1.75481972247839e-09,119806
"NOA",257,0.530312798956694,0.000455333211396575,1.52169966517623,0.00128315431161397,5.35481150216018e-07,5.13698367099937e-10,1.53613887860717e-06,1.45046892783964e-09,119223
"NOA",273,0.533661894350467,0.000442266377931413,1.52023525789167,0.00123456503381875,5.49492705556008e-07,5.53818823720088e-10,1.56528145243165e-06,1.55650942353489e-09,120230
"NOA",289,0.542195561191097,0.000446405340321763,1.53755702241102,0.00124385667856939,5.86153422091742e-07,6.02222639947097e-10,1.66209077332186e-06,1.69007610771896e-09,119488
